kategoria,kierunek,opis kierunku,rekrutacja,specjalności,program studiów
Studia I stopnia stacjonarne,Bachelor In Business Administration,"Studenci kierunku Bachelor in Business Administration (BBA) realizują kompleksowy i konkurencyjny program prowadzony przez wykładowców UEP. Misją programu jest rozwój i upowszechnianie wiedzy z zakresu teorii i praktyki ekonomii i biznesu w zglobalizowanym świecie. Mnogość sił politycznych, społecznych i kulturowych oddziałuje na decyzje ekonomiczne i biznesowe w świecie. Aby zrozumieć te siły, studenci muszą poznać i zrozumieć wiele wyzwań stojących przed współczesnymi firmami, osobami fizycznymi i gospodarką. Obejmują one niedobór zasobów, problemy związane ze wzrostem gospodarczym, kryzysy finansowe, zmiany klimatyczne czy nierówności.
Program BBA prezentuje klasyczne studia z zakresu business administration w kontekście globalnym i łączy je z naukami politycznymi, stosunkami międzynarodowymi, socjologią i nauką o zarządzaniu.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku Bachelor in Business Administration są:
matematyka , fizyka albo geografia , albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), a w przypadku kandydatów, którzy nie ukończyli szkoły średniej w Polsce przedmiot ekonomiczny (np. finanse, rachunkowość, ekonomia, przedsiębiorczość i zarządzanie) – do wyboru przez kandydata.
Warunkiem przyjęcia na studia prowadzone w języku angielskim jest również  znajomość języka angielskiego na wymaganym poziomie, potwierdzona jednym z poniższych certyfikatów:
certyfikat IELTS uzyskany nie wcześniej niż w 2022 roku z wynikiem ogólnym minimum 6.0; lub certyfikat TOEFL ibt uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 70 pkt; lub certyfikat TOEIC uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 700 pkt; lub Certyfikat Duolingo English Test uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 90 pkt; lub dyplom matury IB; lub wynik z egzaminu maturalnego z języka angielskiego na poziomie rozszerzonym na poziomie minimum 75%, wynik z egzaminu maturalnego z języka angielskiego na poziomie dwujęzycznym na poziomie minimum 60%.
Osobami zwolnionymi z przedstawienia certyfikatu są osoby, które ukończyły za granicą szkołę średnią, w której zajęcia i egzaminy były prowadzone w języku angielskim.
Cudzoziemcy nieposiadający żadnego z powyższych dokumentów zobowiązani są do uzyskania potwierdzenia Uczelni, że ich stopień znajomości języka angielskiego pozwala na podjęcie studiów w tym języku.
Rekrutacja na rok akademicki 2025/2026 zostanie uruchomiona w kwietniu 2025 roku.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
ZAPISY ONLINE","W ramach kierunku Bachelor in Business Administration można wybrać specjalność z obszaru biznesu międzynarodowego – International Business and Management (IBM) , lub obszaru ekonomii globalnej – Global Economics (GE) .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Ekonomia,"Marzysz o studiach, podczas których zrozumiesz zjawiska gospodarcze i nauczysz się przewidywania ich konsekwencji, tak by budować dla firmy skuteczne strategie konkurencji i wychodzić z rozwiązaniami zapewniającymi jej rynkowy sukces? Interesuje Cię zarządzanie ludźmi, praca w agencjach PR i mediach? Mamy kierunek dla Ciebie! Na studiach na kierunku ekonomia uzyskasz rzetelną wiedzę, praktyczne umiejętności i szeroki zakres kompetencji społecznych. Wysokie kwalifikacje absolwentów ekonomii od lat są doceniane przez pracodawców. Absolwent ma szerokie możliwości zatrudnienia.
Wyróżniki:
studia umożliwiające realizację kariery zawodowej w szerokiej gamie zawodów i stanowisk pracy, na kierunku oferowanych jest pięć zróżnicowanych programów specjalności.
Zawody i perspektywy kariery:
menedżerowie, analitycy ekonomiczni, doradcy ekonomiczni, specjaliści w działach ekonomicznych, specjaliści ds. obsługi środków UE, analiz rynkowych, personalnych w prywatnych firmach, organach administracji samorządowej i rządowej, instytucjach UE, właściciele firm.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku ekonomia są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia, albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku ekonomia może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Na kierunku oferowanych jest pięć specjalności:
ekonomia globalna i menedżerska, strategie biznesu i polityka gospodarcza w warunkach globalizacji, Public Relations i strategie komunikowania, strategie HR i rynek pracy, zielona gospodarka i zrównoważona konsumpcja.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Finance,"Finance to elitarny i interdyscyplinarny kierunek, pozwalający na zdobycie ogólnej wiedzy z zakresu ekonomii i zarządzania oraz specjalistycznej wiedzy teoretycznej i praktycznej dotyczącej finansów.
Absolwenci kierunku uzyskują umiejętność rozumienia mechanizmów rządzących współczesną gospodarką, wykorzystywania narzędzi analitycznych, zarządzania finansami w skali mikro i makroekonomicznej oraz rozwiązywania problemów praktycznych związanych z zatrudnieniem w sektorze finansowym.
Kierunek posiada akredytację CFA Institute.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku Finance są:
matematyka , fizyka albo geografia , albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), a w przypadku kandydatów, którzy nie ukończyli szkoły średniej w Polsce przedmiot ekonomiczny (np. finanse, rachunkowość, ekonomia, przedsiębiorczość i zarządzanie) – do wyboru przez kandydata.
Warunkiem przyjęcia na studia prowadzone w języku angielskim jest również  znajomość języka angielskiego na wymaganym poziomie, potwierdzona jednym z poniższych certyfikatów:
certyfikat IELTS uzyskany nie wcześniej niż w 2022 roku z wynikiem ogólnym minimum 6.0; lub certyfikat TOEFL ibt uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 70 pkt; lub certyfikat TOEIC uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 700 pkt; lub Certyfikat Duolingo English Test uzyskany nie wcześniej niż w 2022 roku z wynikiem minimum 90 pkt; lub dyplom matury IB; lub wynik z egzaminu maturalnego z języka angielskiego na poziomie rozszerzonym na poziomie minimum 75%, wynik z egzaminu maturalnego z języka angielskiego na poziomie dwujęzycznym na poziomie minimum 60%.
Osobami zwolnionymi z przedstawienia certyfikatu są również osoby, które ukończyły za granicą szkołę średnią, w której zajęcia i egzaminy były prowadzone w języku angielskim.
Cudzoziemcy nieposiadający żadnego z powyższych dokumentów zobowiązani są do uzyskania potwierdzenia Uczelni, że ich stopień znajomości języka angielskiego pozwala na podjęcie studiów w tym języku.
Rekrutacja na rok akademicki 2025/2026 zostanie uruchomiona w kwietniu 2025 roku.
Rekrutacja na studia prowadzone w języku angielskim – dowiedz się więcej .
ZAPISY ONLINE",Na kierunku Finance nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Finanse Audyt Inwestycje,"Finanse, audyt, inwestycje
Chcesz mieć pewność, że zdobędziesz dobrze płatną i perspektywiczną pracę? Zdecyduj się na kierunek, na którym zgłębisz tajniki analizy finansowej, bankowości, ubezpieczeń i całego sektora pośrednictwa finansowego, podatków i finansów publicznych, rachunkowości i audytu oraz inwestycji finansowych!
U nas uzyskasz wiedzę o rynkach finansowych, instytucjach finansowych (bankach, funduszach inwestycyjnych, giełdach) oraz strefie budżetowej. Zdobędziesz też umiejętności związane z finansowymi i rachunkowymi aspektami funkcjonowania przedsiębiorstw, instytucji i podmiotów sektora publicznego.
Wyróżniki:
praktyczne zajęcia prowadzone przez specjalistów z finansów, wszechstronna wiedza o rynkach, instytucjach finansowych oraz finansach osobistych.
Zawody i perspektywy kariery:
analitycy rynków finansowych, analitycy kredytowi, brokerzy ubezpieczeniowi, doradcy podatkowi, główni księgowi, traderzy.","Finanse, audyt, inwestycje
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku finanse, audyt, inwestycje są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika rachunkowości kandydat na studia pierwszego stopnia na kierunku finanse, audyt, inwestycje może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Finanse, audyt, inwestycje
Na kierunku oferowane są cztery specjalności:
bankowość i pośrednictwo finansowe, finanse, audyt i podatki, kontrola finansowa i rachunkowość, ubezpieczenia i zarządzanie ryzykiem.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Finanse, audyt, inwestycje
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Gospodarka Turystyczna,"Pasjonuje Cię turystyka? Mamy dla Ciebie kierunek stworzony z myślą o przedsiębiorczym podejściu do turystyki! Zdobędziesz wszechstronną wiedzę oraz umiejętności niezbędne w obliczu zmian zachodzących w światowej turystyce na skutek rozwoju nowych technologii i form komunikacji, gospodarki współdzielenia i ekosystemów start-upowych. Bardzo dobrze przygotujemy Cię do prowadzenia własnej firmy turystycznej, a także pracy na stanowiskach operacyjnych, analitycznych i menedżerskich w przedsiębiorstwach świadczących usługi turystyczne, organach administracji rządowej i samorządowej, instytucjach upowszechniania turystyki.
Wyróżniki:
przedsiębiorcze ukierunkowanie zajęć odpowiadające potrzebom nowoczesnego biznesu turystycznego, przedmioty zorientowane na nowoczesne formy działalności turystycznej, zajęcia terenowe wspomagające poznawanie praktyki prowadzenia biznesu turystycznego.
Zawody i perspektywy kariery:
menedżerowie obiektów hotelarskich, menedżerowie obiektów kulturalnych, rozrywkowych i rekreacyjnych, pracownicy firm touroperatorskich, agencji turystycznych i internetowych biur podróży, organizatorzy spotkań i wydarzeń biznesowych, specjaliści ds. planowania rozwoju turystyki w administracji rządowej i samorządowej, analitycy międzynarodowego i krajowego rynku turystycznego.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku gospodarka turystyczna są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika hotelarstwa , albo technika organizacji turystyki kandydat na studia pierwszego stopnia na kierunku gospodarka turystyczna może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku gospodarka turystyczna nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Informatyka I Analityka Danych,"Informatyka i analityka danych (dawniej Informatyka i ekonometria)
Twoja pasja to nowoczesne technologie i informatyka? U nas nauczysz się je stosować w ekonomii, finansach i biznesie! To unikalne kompetencje cenione na rynku pracy.  Po tym kierunku to nie Ty szukasz pracy. To praca szuka Ciebie!
Wyróżniki:
zgłębisz tajniki analizy danych, modelowania, prognozowania i zarządzania ryzykiem, nauczysz się programowania i obsługi systemów informatycznych, nie będą Ci obce problemy z zakresu Data science, Big data, uczenia maszynowego, sztucznej inteligencji, wirtualnej rzeczywistości.
Zawody i perspektywy kariery:
analitycy finansowi i gospodarczy, menedżerowie zarządzający ryzykiem lub portfelem inwestycji, projektanci rozwiązań informatycznych dla biznesu lub serwisów internetowych i usług sieciowych.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku informatyka i analityka danych są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia , albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika informatyka , albo technika programisty , albo technika rachunkowości, albo technika teleinformatyka, albo technika tyfloinformatyka kandydat na studia pierwszego stopnia na kierunku informatyka i analityka danych może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Studenci profilują swoją ścieżkę studiów wybierając jedną z czterech specjalności:
analityka gospodarcza, informatyka w gospodarce i administracji, inżynieria finansowa, technologie informacyjne w biznesie
oraz szereg przedmiotów do wyboru.
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Jakosc I Rozwoj Produktu,"Jakość i rozwój produktu – studia inżynierskie
Jeśli chcesz wyznaczyć pewny kurs swojej kariery lub znaleźć pomysł na dochodowy biznes, a jednocześnie pasjonuje Cię tworzenie innowacyjnych produktów, to kierunek jakość i rozwój produktu jest stworzony właśnie dla Ciebie! Zostań ekspertem ds. jakości, zdobądź kompetencje inżynierskie i umiejętności w zakresie marketingu i zarządzania produktem.   Wykorzystaj okazję do rozwoju swoich pasji i zdobycia cenionych na rynku pracy kompetencji studiując na kierunku jakość i rozwój produktu.
Wyróżniki:
praktyczność zajęć – duży udział zajęć projektowych, warsztatowych, realizowanych w pracowniach komputerowych i w specjalistycznych laboratoriach, gdzie Twoja wiedza i kreatywność jest konfrontowana z praktyką, interdyscyplinarność i kompleksowość kształcenia – możliwość zgłębienia wszystkich etapów projektowania i rozwoju produktów, od rozpoznania potrzeb konsumentów, przez wybór właściwych rozwiązań technologicznych, opanowanie metod oceny i zarządzania jakością, oraz narzędzi wprowadzania produktu na rynek, kreatywność i profesjonalizm – współpraca z firmami, prowadzenie projektów w kołach naukowych i duża różnorodność wyboru przedmiotów specjalnościowych, powiązanych z różnymi branżami oraz bieżącymi trendami zrównoważonego rozwoju i troski o środowisko.
Zawody i perspektywy kariery:
Kończąc studia na kierunku jakość i rozwój produktu możesz zostać: inżynierem jakości produktu, menedżerem produktu, specjalistą ds. systemów zarządzania jakością, ekspertem ds. zarządzania produktem, specjalistą ds. badań i rozwoju.","Jakość i rozwój produktu
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku jakość i rozwój produktu są:
przedmiot nr 1 (do wyboru przez kandydata) – biologia albo chemia , albo fizyka, albo geografia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka, przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika agrobiznesu albo technika ekonomisty, albo technika handlowca, albo technika reklamy, albo technika technologii żywności, albo technika żywienia i usług gastronomicznych kandydat na studia pierwszego stopnia na kierunku jakość i rozwój produktu może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Jakość i rozwój produktu
Na kierunku proponowane są dwie specjalności:
inżynier jakości produktów przemysłowych , inżynier jakości produktów żywnościowych .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Jakość i rozwój produktu
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Kierunek Prawno Ekonomiczny,"Kierunek prawno-ekonomiczny
Interesuje Cię prawo i ekonomia? Połącz te dwie dziedziny i wybierz kierunek prowadzony wspólnie z Uniwersytetem im. Adama Mickiewicza w Poznaniu. Zostań cenionym specjalistą posiadającym kompetencje w zakresie prawa, poparte rzetelną wiedzą ekonomiczną.
Wyróżniki:
innowacyjny, interdyscyplinarny charakter, program kształcenia umożliwiający rozumienie procesów zachodzących w otoczeniu prawnym i gospodarczym dla skutecznego działania w zmiennym i wymagającym świecie biznesu.
Zawody i perspektywy kariery:
stanowiska operacyjne, analityczne i menedżerskie sektora prywatnego i publicznego, w kancelariach radcowskich, organizacjach i instytucjach krajowych i zagranicznych.","Kierunek prawno-ekonomiczny
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku prawno-ekonomicznym są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), albo matematyka , albo wiedza o społeczeństwie, przedmiot nr 2 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika administracji albo technika ekonomisty kandydat na studia pierwszego stopnia na kierunku prawno-ekonomicznym może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Kierunek prawno-ekonomiczny
Na kierunku prawno-ekonomicznym nie są oferowane specjalności.","Kierunek prawno-ekonomiczny
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Logistyka,"Chcesz w przyszłości zajmować się zarządzaniem procesami logistycznym lub ich projektowaniem? U nas nauczysz się jak to zrobić. Kierunek stworzyliśmy w oparciu o współczesne trendy na rynku usług logistycznych, wykorzystując doświadczenie i wiedzę naszego kilkunastoosobowego zespołu naukowo-dydaktycznego. W ramach kształcenia na kierunku logistyka skupiamy się na analizie problematyki z zakresu m.in. globalnych łańcuchów dostaw, problemów współczesnej logistyki w przedsiębiorstwach, problemach magazynowania czy transportu, systemów informatycznych wspierających zarządzanie logistyką.
Wyróżniki:
kształcimy w oparciu o autorski program, opracowany na bazie wieloletniego doświadczenia, zajęcia teoretyczne uzupełniamy wiedzą biznesową i spotkaniami z praktykami, wykorzystujemy branżowe narzędzia informatyczne jak Goldrath czy Flexsim, nie są nam obce nowoczesne technologie w transporcie czy magazynowaniu, a także tematy związane z Logistyką 4.0
Zawody i perspektywy kariery:
praca na stanowiskach specjalistów i menedżerów w działach logistycznych przedsiębiorstw produkcyjnych i handlowych, przedsiębiorstwach z branży: transport, spedycja i logistyka oraz w firmach konsultingowych z obszaru logistyki i zarządzania łańcuchami dostaw.","Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku logistyka są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika logistyka albo technika usług pocztowych i finansowych, albo technika spedytora kandydat na studia pierwszego stopnia na kierunku logistyka może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE",Na kierunku logistyka nie są oferowane specjalności.,"Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
Studia I stopnia stacjonarne,Miedzynarodowe Stosunki Gospodarcze,"Międzynarodowe stosunki gospodarcze
Marzysz o pracy w międzynarodowych korporacjach albo w organizacjach międzynarodowych? Wybierz kierunek odpowiadający współczesnym potrzebom gospodarki światowej i krajowej. Przygotowujemy do prowadzenia międzynarodowej działalności gospodarczej w duchu zrównoważonego rozwoju, z umiejętnością posługiwania się narzędziami IT. Zapewniamy rozwój kreatywności i analitycznego myślenia dzięki pracy w zespołach projektowych i wykładom praktyków biznesu.
Wyróżniki:
wiedza menedżerska uwzględniająca transformację klimatyczną i cyfrową, zajęcia opracowane we współpracy z Harvard Business School.
Zawody i perspektywy kariery:
menedżerowie, konsultanci, specjaliści prowadzący międzynarodową działalność gospodarczą, specjaliści i kadra zarządzająca w administracji publicznej i organizacjach międzynarodowych.","Międzynarodowe stosunki gospodarc ze
Liczba punktów rankingowych kandydatów na studia ustalana jest na podstawie liczby punktów/ocen z wyników egzaminów, egzaminów zagranicznych lub wyników kształcenia wpisanych na dokumencie będącym podstawą przyjęcia na studia.
Przedmiotami kwalifikacyjnymi, które są brane pod uwagę przy obliczaniu punktów rankingowych na kierunku międzynarodowe stosunki gospodarcze są:
przedmiot nr 1 (do wyboru przez kandydata) – fizyka albo geografia, albo historia , albo informatyka (Computer Science albo Information Technology in a Global Society – w przypadku matury International Baccalaureate i European Baccalaureate), przedmiot nr 2 – matematyka , przedmiot nr 3 (do wyboru przez kandydata): język angielski albo język francuski, albo język hiszpański, albo język niemiecki, albo język rosyjski .
W wypadku posiadania tytułu technika ekonomisty albo technika hotelarstwa kandydat na studia pierwszego stopnia na kierunku międzynarodowe stosunki gospodarcze może w miejsce przedmiotu kwalifikacyjnego do wyboru (przedmiot nr 1) mieć policzone wyniki egzaminu zawodowego.

Szczegółowe zasady rekrutacji na studia w roku akademickim 2025/2026.
Rekrutacja zostanie uruchomiona po 20 maja 2025 r. – ZAPISZ SIĘ ONLINE","Międzynarodowe stosunki gospodarcze
Na kierunku oferowane są dwie specjalności:
biznes międzynarodowy, zrównoważona gospodarka światowa .
Kandydaci ubiegają się o przyjęcie na kierunek studiów. Uruchomienie określonej specjalności zależy od liczby studentów, którzy w trakcie studiów zadeklarują wolę studiowania na danej specjalności.","Międzynarodowe stosunki gospodarcze
Szczegółowe programy studiów prowadzonych w Uniwersytecie Ekonomicznym w Poznaniu dostępne są na stronie systemu Sylabus UEP. Programy studiów dla cyklu rozpoczynającego się od roku akademickiego 2025/2026 zostaną opublikowane w kwietniu 2025 roku.
System Sylabus UEP"
